央视稳定,#genre#
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-4 中文国际,http://tvbox.netsite.cc/proxy/2065759974/2065759974.m3u8
CCTV-4 中文国际(美洲),https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5+ 体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-13 新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV-13 新闻,http://live.chunfei.top/live02/cctv.m3u8?channel=cctvnews

CCTV源1,#genre#
CCTV-1 综合,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv1/1300000/mnf.m3u8
CCTV-2 财经,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv2/1300000/mnf.m3u8
CCTV-3 综艺,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv3/1300000/mnf.m3u8
CCTV-4 中文国际,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv4/1300000/mnf.m3u8
CCTV-5 体育,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv5/1300000/mnf.m3u8
CCTV-6 电影,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv6/1300000/mnf.m3u8
CCTV-7 国防军事,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv7/1300000/mnf.m3u8
CCTV-8 电视剧,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV-9 纪录,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV-10 科教,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV-11 戏曲,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV-12 社会与法,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV-13 新闻,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctvxw/1300000/mnf.m3u8
CCTV-14 少儿,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV-15 音乐,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-16 奥林匹克,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV-17 农业农村,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv17hd8m/8000000/mnf.m3u8

CCTV源2,#genre#
CCTV-1 综合,http://14.212.185.138:9901/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://14.212.185.138:9901/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://14.212.185.138:9901/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://14.212.185.138:9901/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://14.212.185.138:9901/tsfile/live/0005_1.m3u8
CCTV-6 电影,http://14.212.185.138:9901/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://14.212.185.138:9901/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://14.212.185.138:9901/tsfile/live/0008_1.m3u8
CCTV-9 纪录,http://14.212.185.138:9901/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://14.212.185.138:9901/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://14.212.185.138:9901/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://14.212.185.138:9901/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://14.212.185.138:9901/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://14.212.185.138:9901/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://14.212.185.138:9901/tsfile/live/0015_1.m3u8
CCTV-16 奥林匹克,http://14.212.185.138:9901/tsfile/live/0016_1.m3u8
CCTV-17 农业农村,http://14.212.185.138:9901/tsfile/live/0017_1.m3u8

卫视高清,#genre#
湖南卫视,http://14.212.185.138:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://14.212.185.138:9901/tsfile/live/0124_1.m3u8
东方卫视,http://14.212.185.138:9901/tsfile/live/0107_1.m3u8
北京卫视,http://14.212.185.138:9901/tsfile/live/0122_1.m3u8
江苏卫视,http://14.212.185.138:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://14.212.185.138:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://14.212.185.138:9901/tsfile/live/0142_1.m3u8
东南卫视,http://14.212.185.138:9901/tsfile/live/0137_1.m3u8
广东卫视,http://14.212.185.138:9901/tsfile/live/0018_1.m3u8
广西卫视,http://14.212.185.138:9901/tsfile/live/0113_1.m3u8
贵州卫视,http://14.212.185.138:9901/tsfile/live/0120_1.m3u8
海南卫视,http://14.212.185.138:9901/tsfile/live/1003_1.m3u8
河北卫视,http://14.212.185.138:9901/tsfile/live/0117_1.m3u8
黑龙江卫视,http://14.212.185.138:9901/tsfile/live/0143_1.m3u8
河南卫视,http://14.212.185.138:9901/tsfile/live/0139_1.m3u8
湖北卫视,http://14.212.185.138:9901/tsfile/live/0132_1.m3u8
江西卫视,http://14.212.185.138:9901/tsfile/live/0138_1.m3u8
吉林卫视,http://14.212.185.138:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://14.212.185.138:9901/tsfile/live/0121_1.m3u8
山东卫视,http://14.212.185.138:9901/tsfile/live/0131_1.m3u8
深圳卫视,http://14.212.185.138:9901/tsfile/live/0126_1.m3u8
四川卫视,http://14.212.185.138:9901/tsfile/live/0123_1.m3u8
天津卫视,http://14.212.185.138:9901/tsfile/live/0135_1.m3u8
云南卫视,http://14.212.185.138:9901/tsfile/live/0119_1.m3u8
青海卫视,http://14.212.185.138:9901/tsfile/live/0140_1.m3u8
陕西卫视,http://14.212.185.138:9901/tsfile/live/0136_1.m3u8
内蒙古卫视,http://14.212.185.138:9901/tsfile/live/0109_1.m3u8
宁夏卫视,http://14.212.185.138:9901/tsfile/live/0112_1.m3u8
大湾区卫视,http://154.yfvodcdn.com:8080/live/tytvbs11/hls.m3u8

浙江地方台,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
